MeetingStartDt,MeetingEndDt,FirstNm,MiddleNm,LastNm,Title,Status,Affiliation
19360318,19360318,William,McC.,"Martin, Sr.",President,Alternate Member,St. Louis Reserve Bank
19360318,19360318,Oscar,$$,Newton,President,Alternate Member,Atlanta Reserve Bank
19360318,19360318,Roy,A.,Young,President,Alternate Member,Boston Reserve Bank
19360318,19360318,Joseph,A.,Broderick,Governor,Member,Office of Board Members
19360318,19360318,Marriner,S.,Eccles,Chairman,Member,Office of Board Members
19360318,19360318,Matthew,J.,Fleming,President,Member,Cleveland Reserve Bank
19360318,19360318,George,H.,Hamilton,President,Member,Kansas City Reserve Bank
19360318,19360318,George,L.,Harrison,Vice Chairman,Member,New York Reserve Bank
19360318,19360318,John,K.,McKee,Governor,Member,Office of Board Members
19360318,19360318,Buckner,A.,McKinney,President,Member,Dallas Reserve Bank
19360318,19360318,Ralph,W.,Morrison,Governor,Member,Office of Board Members
19360318,19360318,Ronald,$$,Ransom,Governor,Member,Office of Board Members
19360318,19360318,Menc,S.,Szymczak,Governor,Member,Office of Board Members
19360318,19360318,Hugh,$$,Leach,President,Non-Voting President,Richmond Reserve Bank
19360318,19360318,John,N.,Peyton,President,Non-Voting President,Minneapolis Reserve Bank
19360318,19360318,George,J.,Schaller,President,Non-Voting President,Chicago Reserve Bank
19360318,19360318,John,S.,Sinclair,President,Non-Voting President,Philadelphia Reserve Bank
19360318,19360318,San Francisco,$$,VACANT,President,Non-Voting President,San Francisco Reserve Bank
19360319,19360319,Oscar,$$,Newton,President,Alternate Member,Atlanta Reserve Bank
19360319,19360319,Roy,A.,Young,President,Alternate Member,Boston Reserve Bank
19360319,19360319,Joseph,A.,Broderick,Governor,Member,Office of Board Members
19360319,19360319,Marriner,S.,Eccles,Chairman,Member,Office of Board Members
19360319,19360319,Matthew,J.,Fleming,President,Member,Cleveland Reserve Bank
19360319,19360319,George,H.,Hamilton,President,Member,Kansas City Reserve Bank
19360319,19360319,George,L.,Harrison,Vice Chairman,Member,New York Reserve Bank
19360319,19360319,John,K.,McKee,Governor,Member,Office of Board Members
19360319,19360319,Buckner,A.,McKinney,President,Member,Dallas Reserve Bank
19360319,19360319,Ralph,W.,Morrison,Governor,Member,Office of Board Members
19360319,19360319,Ronald,$$,Ransom,Governor,Member,Office of Board Members
19360319,19360319,Menc,S.,Szymczak,Governor,Member,Office of Board Members
19360319,19360319,Hugh,$$,Leach,President,Non-Voting President,Richmond Reserve Bank
19360319,19360319,William,McC.,"Martin, Sr.",President,Non-Voting President,St. Louis Reserve Bank
19360319,19360319,John,N.,Peyton,President,Non-Voting President,Minneapolis Reserve Bank
19360319,19360319,George,J.,Schaller,President,Non-Voting President,Chicago Reserve Bank
19360319,19360319,John,S.,Sinclair,President,Non-Voting President,Philadelphia Reserve Bank
19360319,19360319,San Francisco,$$,VACANT,President,Non-Voting President,San Francisco Reserve Bank
19360525,19360525,William,McC.,"Martin, Sr.",President,Alternate Member,St. Louis Reserve Bank
19360525,19360525,Oscar,$$,Newton,President,Alternate Member,Atlanta Reserve Bank
19360525,19360525,Roy,A.,Young,President,Alternate Member,Boston Reserve Bank
19360525,19360525,Joseph,A.,Broderick,Governor,Member,Office of Board Members
19360525,19360525,Marriner,S.,Eccles,Chairman,Member,Office of Board Members
19360525,19360525,Matthew,J.,Fleming,President,Member,Cleveland Reserve Bank
19360525,19360525,George,H.,Hamilton,President,Member,Kansas City Reserve Bank
19360525,19360525,George,L.,Harrison,Vice Chairman,Member,New York Reserve Bank
19360525,19360525,John,K.,McKee,Governor,Member,Office of Board Members
19360525,19360525,Buckner,A.,McKinney,President,Member,Dallas Reserve Bank
19360525,19360525,Ralph,W.,Morrison,Governor,Member,Office of Board Members
19360525,19360525,Ronald,$$,Ransom,Governor,Member,Office of Board Members
19360525,19360525,George,J.,Schaller,President,Member,Chicago Reserve Bank
19360525,19360525,Menc,S.,Szymczak,Governor,Member,Office of Board Members
19360525,19360525,William,A.,Day,President,Non-Voting President,San Francisco Reserve Bank
19360525,19360525,Hugh,$$,Leach,President,Non-Voting President,Richmond Reserve Bank
19360525,19360525,John,N.,Peyton,President,Non-Voting President,Minneapolis Reserve Bank
19360525,19360525,John,S.,Sinclair,President,Non-Voting President,Philadelphia Reserve Bank
19361119,19361119,William,McC.,"Martin, Sr.",President,Alternate Member,St. Louis Reserve Bank
19361119,19361119,Oscar,$$,Newton,President,Alternate Member,Atlanta Reserve Bank
19361119,19361119,Roy,A.,Young,President,Alternate Member,Boston Reserve Bank
19361119,19361119,Joseph,A.,Broderick,Governor,Member,Office of Board Members
19361119,19361119,Chester,C.,Davis,Governor,Member,Office of Board Members
19361119,19361119,Marriner,S.,Eccles,Chairman,Member,Office of Board Members
19361119,19361119,Matthew,J.,Fleming,President,Member,Cleveland Reserve Bank
19361119,19361119,George,H.,Hamilton,President,Member,Kansas City Reserve Bank
19361119,19361119,George,L.,Harrison,Vice Chairman,Member,New York Reserve Bank
19361119,19361119,John,K.,McKee,Governor,Member,Office of Board Members
19361119,19361119,Buckner,A.,McKinney,President,Member,Dallas Reserve Bank
19361119,19361119,Ronald,$$,Ransom,Governor,Member,Office of Board Members
19361119,19361119,George,J.,Schaller,President,Member,Chicago Reserve Bank
19361119,19361119,Menc,S.,Szymczak,Governor,Member,Office of Board Members
19361119,19361119,William,A.,Day,President,Non-Voting President,San Francisco Reserve Bank
19361119,19361119,Hugh,$$,Leach,President,Non-Voting President,Richmond Reserve Bank
19361119,19361119,John,N.,Peyton,President,Non-Voting President,Minneapolis Reserve Bank
19361119,19361119,John,S.,Sinclair,President,Non-Voting President,Philadelphia Reserve Bank
19361120,19361120,William,McC.,"Martin, Sr.",President,Alternate Member,St. Louis Reserve Bank
19361120,19361120,Oscar,$$,Newton,President,Alternate Member,Atlanta Reserve Bank
19361120,19361120,Roy,A.,Young,President,Alternate Member,Boston Reserve Bank
19361120,19361120,Joseph,A.,Broderick,Governor,Member,Office of Board Members
19361120,19361120,Chester,C.,Davis,Governor,Member,Office of Board Members
19361120,19361120,Marriner,S.,Eccles,Chairman,Member,Office of Board Members
19361120,19361120,Matthew,J.,Fleming,President,Member,Cleveland Reserve Bank
19361120,19361120,George,H.,Hamilton,President,Member,Kansas City Reserve Bank
19361120,19361120,George,L.,Harrison,Vice Chairman,Member,New York Reserve Bank
19361120,19361120,John,K.,McKee,Governor,Member,Office of Board Members
19361120,19361120,Buckner,A.,McKinney,President,Member,Dallas Reserve Bank
19361120,19361120,Ronald,$$,Ransom,Governor,Member,Office of Board Members
19361120,19361120,George,J.,Schaller,President,Member,Chicago Reserve Bank
19361120,19361120,Menc,S.,Szymczak,Governor,Member,Office of Board Members
19361120,19361120,William,A.,Day,President,Non-Voting President,San Francisco Reserve Bank
19361120,19361120,Hugh,$$,Leach,President,Non-Voting President,Richmond Reserve Bank
19361120,19361120,John,N.,Peyton,President,Non-Voting President,Minneapolis Reserve Bank
19361120,19361120,John,S.,Sinclair,President,Non-Voting President,Philadelphia Reserve Bank
19370126,19370126,William,McC.,"Martin, Sr.",President,Alternate Member,St. Louis Reserve Bank
19370126,19370126,Oscar,$$,Newton,President,Alternate Member,Atlanta Reserve Bank
19370126,19370126,Roy,A.,Young,President,Alternate Member,Boston Reserve Bank
19370126,19370126,Joseph,A.,Broderick,Governor,Member,Office of Board Members
19370126,19370126,Chester,C.,Davis,Governor,Member,Office of Board Members
19370126,19370126,Marriner,S.,Eccles,Chairman,Member,Office of Board Members
19370126,19370126,Matthew,J.,Fleming,President,Member,Cleveland Reserve Bank
19370126,19370126,George,H.,Hamilton,President,Member,Kansas City Reserve Bank
19370126,19370126,George,L.,Harrison,Vice Chairman,Member,New York Reserve Bank
19370126,19370126,John,K.,McKee,Governor,Member,Office of Board Members
19370126,19370126,Buckner,A.,McKinney,President,Member,Dallas Reserve Bank
19370126,19370126,Ronald,$$,Ransom,Governor,Member,Office of Board Members
19370126,19370126,George,J.,Schaller,President,Member,Chicago Reserve Bank
19370126,19370126,Menc,S.,Szymczak,Governor,Member,Office of Board Members
19370126,19370126,William,A.,Day,President,Non-Voting President,San Francisco Reserve Bank
19370126,19370126,Hugh,$$,Leach,President,Non-Voting President,Richmond Reserve Bank
19370126,19370126,John,N.,Peyton,President,Non-Voting President,Minneapolis Reserve Bank
19370126,19370126,John,S.,Sinclair,President,Non-Voting President,Philadelphia Reserve Bank
19370315,19370315,Matthew,J.,Fleming,President,Alternate Member,Cleveland Reserve Bank
19370315,19370315,Oscar,$$,Newton,President,Alternate Member,Atlanta Reserve Bank
19370315,19370315,John,N.,Peyton,President,Alternate Member,Minneapolis Reserve Bank
19370315,19370315,George,J.,Schaller,President,Alternate Member,Chicago Reserve Bank
19370315,19370315,Roy,A.,Young,President,Alternate Member,Boston Reserve Bank
19370315,19370315,Joseph,A.,Broderick,Governor,Member,Office of Board Members
19370315,19370315,Chester,C.,Davis,Governor,Member,Office of Board Members
19370315,19370315,William,A.,Day,President,Member,San Francisco Reserve Bank
19370315,19370315,Marriner,S.,Eccles,Chairman,Member,Office of Board Members
19370315,19370315,George,L.,Harrison,Vice Chairman,Member,New York Reserve Bank
19370315,19370315,William,McC.,"Martin, Sr.",President,Member,St. Louis Reserve Bank
19370315,19370315,John,K.,McKee,Governor,Member,Office of Board Members
19370315,19370315,Buckner,A.,McKinney,President,Member,Dallas Reserve Bank
19370315,19370315,Ronald,$$,Ransom,Governor,Member,Office of Board Members
19370315,19370315,John,S.,Sinclair,President,Member,Philadelphia Reserve Bank
19370315,19370315,Menc,S.,Szymczak,Governor,Member,Office of Board Members
19370315,19370315,George,H.,Hamilton,President,Non-Voting President,Kansas City Reserve Bank
19370315,19370315,Hugh,$$,Leach,President,Non-Voting President,Richmond Reserve Bank
19370403,19370404,Matthew,J.,Fleming,President,Alternate Member,Cleveland Reserve Bank
19370403,19370404,Oscar,$$,Newton,President,Alternate Member,Atlanta Reserve Bank
19370403,19370404,John,N.,Peyton,President,Alternate Member,Minneapolis Reserve Bank
19370403,19370404,George,J.,Schaller,President,Alternate Member,Chicago Reserve Bank
19370403,19370404,Roy,A.,Young,President,Alternate Member,Boston Reserve Bank
19370403,19370404,Joseph,A.,Broderick,Governor,Member,Office of Board Members
19370403,19370404,Chester,C.,Davis,Governor,Member,Office of Board Members
19370403,19370404,William,A.,Day,President,Member,San Francisco Reserve Bank
19370403,19370404,Marriner,S.,Eccles,Chairman,Member,Office of Board Members
19370403,19370404,George,L.,Harrison,Vice Chairman,Member,New York Reserve Bank
19370403,19370404,William,McC.,"Martin, Sr.",President,Member,St. Louis Reserve Bank
19370403,19370404,John,K.,McKee,Governor,Member,Office of Board Members
19370403,19370404,Buckner,A.,McKinney,President,Member,Dallas Reserve Bank
19370403,19370404,Ronald,$$,Ransom,Governor,Member,Office of Board Members
19370403,19370404,John,S.,Sinclair,President,Member,Philadelphia Reserve Bank
19370403,19370404,Menc,S.,Szymczak,Governor,Member,Office of Board Members
19370403,19370404,George,H.,Hamilton,President,Non-Voting President,Kansas City Reserve Bank
19370403,19370404,Hugh,$$,Leach,President,Non-Voting President,Richmond Reserve Bank
19370504,19370505,Matthew,J.,Fleming,President,Alternate Member,Cleveland Reserve Bank
19370504,19370505,Oscar,$$,Newton,President,Alternate Member,Atlanta Reserve Bank
19370504,19370505,John,N.,Peyton,President,Alternate Member,Minneapolis Reserve Bank
19370504,19370505,George,J.,Schaller,President,Alternate Member,Chicago Reserve Bank
19370504,19370505,Roy,A.,Young,President,Alternate Member,Boston Reserve Bank
19370504,19370505,Joseph,A.,Broderick,Governor,Member,Office of Board Members
19370504,19370505,Chester,C.,Davis,Governor,Member,Office of Board Members
19370504,19370505,William,A.,Day,President,Member,San Francisco Reserve Bank
19370504,19370505,Marriner,S.,Eccles,Chairman,Member,Office of Board Members
19370504,19370505,George,L.,Harrison,Vice Chairman,Member,New York Reserve Bank
19370504,19370505,William,McC.,"Martin, Sr.",President,Member,St. Louis Reserve Bank
19370504,19370505,John,K.,McKee,Governor,Member,Office of Board Members
19370504,19370505,Buckner,A.,McKinney,President,Member,Dallas Reserve Bank
19370504,19370505,Ronald,$$,Ransom,Governor,Member,Office of Board Members
19370504,19370505,John,S.,Sinclair,President,Member,Philadelphia Reserve Bank
19370504,19370505,Menc,S.,Szymczak,Governor,Member,Office of Board Members
19370504,19370505,George,H.,Hamilton,President,Non-Voting President,Kansas City Reserve Bank
19370504,19370505,Hugh,$$,Leach,President,Non-Voting President,Richmond Reserve Bank
19370609,19370609,Matthew,J.,Fleming,President,Alternate Member,Cleveland Reserve Bank
19370609,19370609,Oscar,$$,Newton,President,Alternate Member,Atlanta Reserve Bank
19370609,19370609,John,N.,Peyton,President,Alternate Member,Minneapolis Reserve Bank
19370609,19370609,George,J.,Schaller,President,Alternate Member,Chicago Reserve Bank
19370609,19370609,Roy,A.,Young,President,Alternate Member,Boston Reserve Bank
19370609,19370609,Joseph,A.,Broderick,Governor,Member,Office of Board Members
19370609,19370609,Chester,C.,Davis,Governor,Member,Office of Board Members
19370609,19370609,William,A.,Day,President,Member,San Francisco Reserve Bank
19370609,19370609,Marriner,S.,Eccles,Chairman,Member,Office of Board Members
19370609,19370609,George,L.,Harrison,Vice Chairman,Member,New York Reserve Bank
19370609,19370609,William,McC.,"Martin, Sr.",President,Member,St. Louis Reserve Bank
19370609,19370609,John,K.,McKee,Governor,Member,Office of Board Members
19370609,19370609,Buckner,A.,McKinney,President,Member,Dallas Reserve Bank
19370609,19370609,Ronald,$$,Ransom,Governor,Member,Office of Board Members
19370609,19370609,John,S.,Sinclair,President,Member,Philadelphia Reserve Bank
19370609,19370609,Menc,S.,Szymczak,Governor,Member,Office of Board Members
19370609,19370609,George,H.,Hamilton,President,Non-Voting President,Kansas City Reserve Bank
19370609,19370609,Hugh,$$,Leach,President,Non-Voting President,Richmond Reserve Bank
19370911,19370912,Matthew,J.,Fleming,President,Alternate Member,Cleveland Reserve Bank
19370911,19370912,Oscar,$$,Newton,President,Alternate Member,Atlanta Reserve Bank
19370911,19370912,John,N.,Peyton,President,Alternate Member,Minneapolis Reserve Bank
19370911,19370912,George,J.,Schaller,President,Alternate Member,Chicago Reserve Bank
19370911,19370912,Roy,A.,Young,President,Alternate Member,Boston Reserve Bank
19370911,19370912,Joseph,A.,Broderick,Governor,Member,Office of Board Members
19370911,19370912,Chester,C.,Davis,Governor,Member,Office of Board Members
19370911,19370912,William,A.,Day,President,Member,San Francisco Reserve Bank
19370911,19370912,Marriner,S.,Eccles,Chairman,Member,Office of Board Members
19370911,19370912,George,L.,Harrison,Vice Chairman,Member,New York Reserve Bank
19370911,19370912,William,McC.,"Martin, Sr.",President,Member,St. Louis Reserve Bank
19370911,19370912,John,K.,McKee,Governor,Member,Office of Board Members
19370911,19370912,Buckner,A.,McKinney,President,Member,Dallas Reserve Bank
19370911,19370912,Ronald,$$,Ransom,Governor,Member,Office of Board Members
19370911,19370912,John,S.,Sinclair,President,Member,Philadelphia Reserve Bank
19370911,19370912,Menc,S.,Szymczak,Governor,Member,Office of Board Members
19370911,19370912,George,H.,Hamilton,President,Non-Voting President,Kansas City Reserve Bank
19370911,19370912,Hugh,$$,Leach,President,Non-Voting President,Richmond Reserve Bank
19371129,19371201,Matthew,J.,Fleming,President,Alternate Member,Cleveland Reserve Bank
19371129,19371201,Oscar,$$,Newton,President,Alternate Member,Atlanta Reserve Bank
19371129,19371201,John,N.,Peyton,President,Alternate Member,Minneapolis Reserve Bank
19371129,19371201,George,J.,Schaller,President,Alternate Member,Chicago Reserve Bank
19371129,19371201,Roy,A.,Young,President,Alternate Member,Boston Reserve Bank
19371129,19371201,Chester,C.,Davis,Governor,Member,Office of Board Members
19371129,19371201,William,A.,Day,President,Member,San Francisco Reserve Bank
19371129,19371201,Marriner,S.,Eccles,Chairman,Member,Office of Board Members
19371129,19371201,George,L.,Harrison,Vice Chairman,Member,New York Reserve Bank
19371129,19371201,William,McC.,"Martin, Sr.",President,Member,St. Louis Reserve Bank
19371129,19371201,John,K.,McKee,Governor,Member,Office of Board Members
19371129,19371201,Buckner,A.,McKinney,President,Member,Dallas Reserve Bank
19371129,19371201,Ronald,$$,Ransom,Governor,Member,Office of Board Members
19371129,19371201,John,S.,Sinclair,President,Member,Philadelphia Reserve Bank
19371129,19371201,Menc,S.,Szymczak,Governor,Member,Office of Board Members
19371129,19371201,George,H.,Hamilton,President,Non-Voting President,Kansas City Reserve Bank
19371129,19371201,Hugh,$$,Leach,President,Non-Voting President,Richmond Reserve Bank
19380228,19380301,Matthew,J.,Fleming,President,Alternate Member,Cleveland Reserve Bank
19380228,19380301,Oscar,$$,Newton,President,Alternate Member,Atlanta Reserve Bank
19380228,19380301,John,N.,Peyton,President,Alternate Member,Minneapolis Reserve Bank
19380228,19380301,George,J.,Schaller,President,Alternate Member,Chicago Reserve Bank
19380228,19380301,Roy,A.,Young,President,Alternate Member,Boston Reserve Bank
19380228,19380301,Chester,C.,Davis,Governor,Member,Office of Board Members
19380228,19380301,William,A.,Day,President,Member,San Francisco Reserve Bank
19380228,19380301,Marriner,S.,Eccles,Chairman,Member,Office of Board Members
19380228,19380301,George,L.,Harrison,Vice Chairman,Member,New York Reserve Bank
19380228,19380301,William,McC.,"Martin, Sr.",President,Member,St. Louis Reserve Bank
19380228,19380301,John,K.,McKee,Governor,Member,Office of Board Members
19380228,19380301,Buckner,A.,McKinney,President,Member,Dallas Reserve Bank
19380228,19380301,Ronald,$$,Ransom,Governor,Member,Office of Board Members
19380228,19380301,John,S.,Sinclair,President,Member,Philadelphia Reserve Bank
19380228,19380301,Menc,S.,Szymczak,Governor,Member,Office of Board Members
19380228,19380301,George,H.,Hamilton,President,Non-Voting President,Kansas City Reserve Bank
19380228,19380301,Hugh,$$,Leach,President,Non-Voting President,Richmond Reserve Bank
19380228,19380301,George,H.,Hamilton,President,Alternate Member,Kansas City Reserve Bank
19380228,19380301,Hugh,$$,Leach,President,Alternate Member,Richmond Reserve Bank
19380228,19380301,William,McC.,"Martin, Sr.",President,Alternate Member,St. Louis Reserve Bank
19380228,19380301,Oscar,$$,Newton,President,Member,Atlanta Reserve Bank
19380228,19380301,John,N.,Peyton,President,Member,Minneapolis Reserve Bank
19380228,19380301,George,J.,Schaller,President,Member,Chicago Reserve Bank
19380228,19380301,William,A.,Day,President,Non-Voting President,San Francisco Reserve Bank
19380228,19380301,Buckner,A.,McKinney,President,Non-Voting President,Dallas Reserve Bank
19380421,19380422,Matthew,J.,Fleming,President,Alternate Member,Cleveland Reserve Bank
19380421,19380422,George,H.,Hamilton,President,Alternate Member,Kansas City Reserve Bank
19380421,19380422,Hugh,$$,Leach,President,Alternate Member,Richmond Reserve Bank
19380421,19380422,William,McC.,"Martin, Sr.",President,Alternate Member,St. Louis Reserve Bank
19380421,19380422,Roy,A.,Young,President,Alternate Member,Boston Reserve Bank
19380421,19380422,Chester,C.,Davis,Governor,Member,Office of Board Members
19380421,19380422,Ernest,G.,Draper,Governor,Member,Office of Board Members
19380421,19380422,Marriner,S.,Eccles,Chairman,Member,Office of Board Members
19380421,19380422,George,L.,Harrison,Vice Chairman,Member,New York Reserve Bank
19380421,19380422,John,K.,McKee,Governor,Member,Office of Board Members
19380421,19380422,Oscar,$$,Newton,President,Member,Atlanta Reserve Bank
19380421,19380422,John,N.,Peyton,President,Member,Minneapolis Reserve Bank
19380421,19380422,Ronald,$$,Ransom,Governor,Member,Office of Board Members
19380421,19380422,George,J.,Schaller,President,Member,Chicago Reserve Bank
19380421,19380422,John,S.,Sinclair,President,Member,Philadelphia Reserve Bank
19380421,19380422,Menc,S.,Szymczak,Governor,Member,Office of Board Members
19380421,19380422,William,A.,Day,President,Non-Voting President,San Francisco Reserve Bank
19380421,19380422,Buckner,A.,McKinney,President,Non-Voting President,Dallas Reserve Bank
19380429,19380429,Matthew,J.,Fleming,President,Alternate Member,Cleveland Reserve Bank
19380429,19380429,George,H.,Hamilton,President,Alternate Member,Kansas City Reserve Bank
19380429,19380429,Hugh,$$,Leach,President,Alternate Member,Richmond Reserve Bank
19380429,19380429,William,McC.,"Martin, Sr.",President,Alternate Member,St. Louis Reserve Bank
19380429,19380429,Roy,A.,Young,President,Alternate Member,Boston Reserve Bank
19380429,19380429,Chester,C.,Davis,Governor,Member,Office of Board Members
19380429,19380429,Ernest,G.,Draper,Governor,Member,Office of Board Members
19380429,19380429,Marriner,S.,Eccles,Chairman,Member,Office of Board Members
19380429,19380429,George,L.,Harrison,Vice Chairman,Member,New York Reserve Bank
19380429,19380429,John,K.,McKee,Governor,Member,Office of Board Members
19380429,19380429,Oscar,$$,Newton,President,Member,Atlanta Reserve Bank
19380429,19380429,John,N.,Peyton,President,Member,Minneapolis Reserve Bank
19380429,19380429,Ronald,$$,Ransom,Governor,Member,Office of Board Members
19380429,19380429,George,J.,Schaller,President,Member,Chicago Reserve Bank
19380429,19380429,John,S.,Sinclair,President,Member,Philadelphia Reserve Bank
19380429,19380429,Menc,S.,Szymczak,Governor,Member,Office of Board Members
19380429,19380429,William,A.,Day,President,Non-Voting President,San Francisco Reserve Bank
19380429,19380429,Buckner,A.,McKinney,President,Non-Voting President,Dallas Reserve Bank
19380802,19380802,Matthew,J.,Fleming,President,Alternate Member,Cleveland Reserve Bank
19380802,19380802,George,H.,Hamilton,President,Alternate Member,Kansas City Reserve Bank
19380802,19380802,Hugh,$$,Leach,President,Alternate Member,Richmond Reserve Bank
19380802,19380802,William,McC.,"Martin, Sr.",President,Alternate Member,St. Louis Reserve Bank
19380802,19380802,Roy,A.,Young,President,Alternate Member,Boston Reserve Bank
19380802,19380802,Chester,C.,Davis,Governor,Member,Office of Board Members
19380802,19380802,Ernest,G.,Draper,Governor,Member,Office of Board Members
19380802,19380802,Marriner,S.,Eccles,Chairman,Member,Office of Board Members
19380802,19380802,George,L.,Harrison,Vice Chairman,Member,New York Reserve Bank
19380802,19380802,John,K.,McKee,Governor,Member,Office of Board Members
19380802,19380802,Oscar,$$,Newton,President,Member,Atlanta Reserve Bank
19380802,19380802,John,N.,Peyton,President,Member,Minneapolis Reserve Bank
19380802,19380802,Ronald,$$,Ransom,Governor,Member,Office of Board Members
19380802,19380802,George,J.,Schaller,President,Member,Chicago Reserve Bank
19380802,19380802,John,S.,Sinclair,President,Member,Philadelphia Reserve Bank
19380802,19380802,Menc,S.,Szymczak,Governor,Member,Office of Board Members
19380802,19380802,William,A.,Day,President,Non-Voting President,San Francisco Reserve Bank
19380802,19380802,Buckner,A.,McKinney,President,Non-Voting President,Dallas Reserve Bank
19380921,19380921,Matthew,J.,Fleming,President,Alternate Member,Cleveland Reserve Bank
19380921,19380921,George,H.,Hamilton,President,Alternate Member,Kansas City Reserve Bank
19380921,19380921,Hugh,$$,Leach,President,Alternate Member,Richmond Reserve Bank
19380921,19380921,William,McC.,"Martin, Sr.",President,Alternate Member,St. Louis Reserve Bank
19380921,19380921,Roy,A.,Young,President,Alternate Member,Boston Reserve Bank
19380921,19380921,Chester,C.,Davis,Governor,Member,Office of Board Members
19380921,19380921,Ernest,G.,Draper,Governor,Member,Office of Board Members
19380921,19380921,Marriner,S.,Eccles,Chairman,Member,Office of Board Members
19380921,19380921,George,L.,Harrison,Vice Chairman,Member,New York Reserve Bank
19380921,19380921,John,K.,McKee,Governor,Member,Office of Board Members
19380921,19380921,Oscar,$$,Newton,President,Member,Atlanta Reserve Bank
19380921,19380921,John,N.,Peyton,President,Member,Minneapolis Reserve Bank
19380921,19380921,Ronald,$$,Ransom,Governor,Member,Office of Board Members
19380921,19380921,George,J.,Schaller,President,Member,Chicago Reserve Bank
19380921,19380921,John,S.,Sinclair,President,Member,Philadelphia Reserve Bank
19380921,19380921,Menc,S.,Szymczak,Governor,Member,Office of Board Members
19380921,19380921,William,A.,Day,President,Non-Voting President,San Francisco Reserve Bank
19380921,19380921,Buckner,A.,McKinney,President,Non-Voting President,Dallas Reserve Bank
19381230,19381230,Matthew,J.,Fleming,President,Alternate Member,Cleveland Reserve Bank
19381230,19381230,George,H.,Hamilton,President,Alternate Member,Kansas City Reserve Bank
19381230,19381230,Hugh,$$,Leach,President,Alternate Member,Richmond Reserve Bank
19381230,19381230,William,McC.,"Martin, Sr.",President,Alternate Member,St. Louis Reserve Bank
19381230,19381230,Roy,A.,Young,President,Alternate Member,Boston Reserve Bank
19381230,19381230,Chester,C.,Davis,Governor,Member,Office of Board Members
19381230,19381230,Ernest,G.,Draper,Governor,Member,Office of Board Members
19381230,19381230,Marriner,S.,Eccles,Chairman,Member,Office of Board Members
19381230,19381230,George,L.,Harrison,Vice Chairman,Member,New York Reserve Bank
19381230,19381230,John,K.,McKee,Governor,Member,Office of Board Members
19381230,19381230,Oscar,$$,Newton,President,Member,Atlanta Reserve Bank
19381230,19381230,John,N.,Peyton,President,Member,Minneapolis Reserve Bank
19381230,19381230,Ronald,$$,Ransom,Governor,Member,Office of Board Members
19381230,19381230,George,J.,Schaller,President,Member,Chicago Reserve Bank
19381230,19381230,John,S.,Sinclair,President,Member,Philadelphia Reserve Bank
19381230,19381230,Menc,S.,Szymczak,Governor,Member,Office of Board Members
19381230,19381230,William,A.,Day,President,Non-Voting President,San Francisco Reserve Bank
19381230,19381230,Buckner,A.,McKinney,President,Non-Voting President,Dallas Reserve Bank
19390306,19390307,William,A.,Day,President,Alternate Member,San Francisco Reserve Bank
19390306,19390307,Oscar,$$,Newton,President,Alternate Member,Atlanta Reserve Bank
19390306,19390307,George,J.,Schaller,President,Alternate Member,Chicago Reserve Bank
19390306,19390307,John,S.,Sinclair,President,Alternate Member,Philadelphia Reserve Bank
19390306,19390307,Roy,A.,Young,President,Alternate Member,Boston Reserve Bank
19390306,19390307,Chester,C.,Davis,Governor,Member,Office of Board Members
19390306,19390307,Ernest,G.,Draper,Governor,Member,Office of Board Members
19390306,19390307,Marriner,S.,Eccles,Chairman,Member,Office of Board Members
19390306,19390307,Matthew,J.,Fleming,President,Member,Cleveland Reserve Bank
19390306,19390307,George,H.,Hamilton,President,Member,Kansas City Reserve Bank
19390306,19390307,George,L.,Harrison,Vice Chairman,Member,New York Reserve Bank
19390306,19390307,Hugh,$$,Leach,President,Member,Richmond Reserve Bank
19390306,19390307,William,McC.,"Martin, Sr.",President,Member,St. Louis Reserve Bank
19390306,19390307,John,K.,McKee,Governor,Member,Office of Board Members
19390306,19390307,Ronald,$$,Ransom,Governor,Member,Office of Board Members
19390306,19390307,Menc,S.,Szymczak,Governor,Member,Office of Board Members
19390306,19390307,Buckner,A.,McKinney,President,Non-Voting President,Dallas Reserve Bank
19390306,19390307,John,N.,Peyton,President,Non-Voting President,Minneapolis Reserve Bank
19390320,19390320,William,A.,Day,President,Alternate Member,San Francisco Reserve Bank
19390320,19390320,Oscar,$$,Newton,President,Alternate Member,Atlanta Reserve Bank
19390320,19390320,George,J.,Schaller,President,Alternate Member,Chicago Reserve Bank
19390320,19390320,John,S.,Sinclair,President,Alternate Member,Philadelphia Reserve Bank
19390320,19390320,Roy,A.,Young,President,Alternate Member,Boston Reserve Bank
19390320,19390320,Chester,C.,Davis,Governor,Member,Office of Board Members
19390320,19390320,Ernest,G.,Draper,Governor,Member,Office of Board Members
19390320,19390320,Marriner,S.,Eccles,Chairman,Member,Office of Board Members
19390320,19390320,Matthew,J.,Fleming,President,Member,Cleveland Reserve Bank
19390320,19390320,George,H.,Hamilton,President,Member,Kansas City Reserve Bank
19390320,19390320,George,L.,Harrison,Vice Chairman,Member,New York Reserve Bank
19390320,19390320,Hugh,$$,Leach,President,Member,Richmond Reserve Bank
19390320,19390320,William,McC.,"Martin, Sr.",President,Member,St. Louis Reserve Bank
19390320,19390320,John,K.,McKee,Governor,Member,Office of Board Members
19390320,19390320,Ronald,$$,Ransom,Governor,Member,Office of Board Members
